strain	designation	accession	clade	passage_long	passage	center_long	center	date	month_abbr	type	reference	h_serology	f_serology
6B.1_A/Michigan/45/2015	A/Michigan/45/2015		6B.1	E	e				Reference	Reference	1		
6B.1A.1_A/Brisbane/02/2018	A/Brisbane/02/2018		6B.1A.1	E	e				Reference	Reference	1		
6B.1A.2_A/Townsville/21/2018	A/Townsville/21/2018		6B.1A.2	E	e				Reference	Reference	1		
6B.1A.5a_A/Darwin/6/2018	A/Darwin/6/2018		6B.1A.5a	E	e				Reference	Reference	1		1
6B.1A.5a.1_A/Guangdong-Maonan/SWL1536/2019	A/Guangdong-Maonan/SWL1536/2019		6B.1A.5a.1	E	e				Vaccine	Vaccine	1	1	1
6B.1A.5a.2_A/Perth/21/2020	A/Perth/21/2020		6B.1A.5a.2						Reference	Reference	1		
6B.1A.5a.2_A/Victoria/2570/2019	A/Victoria/2570/2019		6B.1A.5a.2	E	e				Reference	Vaccine	1	1	1
6B.1A.5b_A/Canberra/337/2019	A/Canberra/337/2019		6B.1A.5b	E	e				Reference	Reference	1		1
A/California/07/2009	A/California/07/2009			E	e				Reference	Reference	1		1
A/Sydney/5/2021e_oct	A/Sydney/5/2021			E3	e			2021-10-16		Egg			
A/Victoria/2455/2019e	A/Victoria/2455/2019			E4	e					Egg			1
A/South_Africa/15549/2021e	A/South Africa/15549/2021	S10046954.4		E3				25/10/21		Egg			
cdcA/Ohio/10/2022_mar	A/Ohio/10/2022	EPI_ISL_12709095		S1		Centers for Disease Control and Prevention	cdc	2022-03-19					
cdcA/California/90/2022_apr	A/California/90/2022	EPI_ISL_13286911		Original	o	Centers for Disease Control and Prevention	cdc	2022-04-26					
rivmA/Netherlands/11651/2022_jun	A/Netherlands/11651/2022	EPI_ISL_13324721		Original	o	National Institute for Public Health and the Environment (RIVM)	rivm	2022-06-03					
A/North_Carolina/01/2021e				E2						Ferret Serology			
A/Togo/881/2020				S2						Ferret Serology			
A/Togo/44/2021e				E4						Ferret Serology			
A/Brisbane/51/2022_apr	A/Brisbane/51/2022	N10055538.4		MDCK1									
A/Newcastle/39/2022_apr	A/Newcastle/39/2022	N10055494.4		SIAT1									
A/Sydney/173/2022e_apr	A/Sydney/173/2022	S10057010.4		E3						Egg			
