strain	accession	date	month_abbr	type
6B.1_A/Michigan/45/2015			Reference	Reference
6B.1A.1_A/Brisbane/02/2018			Reference	Reference
6B.1A.2_A/Townsville/21/2018			Reference	Reference
6B.1A.5a_A/Darwin/6/2018			Reference	Reference
6B.1A.5a.1_A/Guangdong-Maonan/SWL1536/2019			Vaccine	Vaccine
6B.1A.5a.2_A/Perth/21/2020			Reference	Reference
6B.1A.5a.2_A/Victoria/2570/2019			Reference	Vaccine
6B.1A.5b_A/Canberra/337/2019			Reference	Reference
A/Sydney/5/2021e		2021-10-16		Egg
A/Victoria/2455/2019e				Egg
A/South_Africa/15549/2021e	S10046954.4	25/10/21		Egg
A/North_Carolina/01/2021e				Ferret Serology
A/Togo/44/2021e				Ferret Serology
A/Sydney/173/2022e	S10057010.4			Egg
A/Darwin/7/2022e	S10057009.4			Egg
A/Sydney/175/2022e	S10057011.4			Egg
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				LR
				
				
				
				LR
				
				LR
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				LR
